job_title,job_skills,company,job_location,job_level,job_type,job_title_clean,job_skills_clean
Data Analyst III,"Data Analytics, Project Management, Data Extraction, Data Visualization Tools, Relational Database Management, Bachelor's degree in relevant field, 3 years of experience in data analytics, Proficiency in using data extraction tools, Proficiency in using data visualization tools, Proficiency in managing relational databases, Ability to manage projects from initiation to completion, Ability to communicate effectively with technical and nontechnical stakeholders, Ability to work independently and as part of a team",Kaiser Permanente,"Tustin, CA",Mid senior,Onsite,data analyst iii,data analytics project management data extraction data visualization tools relational database management bachelor s degree in relevant field 3 years of experience in data analytics proficiency in using data extraction tools proficiency in using data visualization tools proficiency in managing relational databases ability to manage projects from initiation to completion ability to communicate effectively with technical and nontechnical stakeholders ability to work independently and as part of a team
Database Developer,"AWS, Elasticsearch, Apache Spark, Scala, ETL, DevOps, GitHub, Subversion, Jenkins, Maven, Artifactory, Web stack technologies, Web UI, Business Logic, Database layer, Financial data sets, MapReduce, Java, SpringBoot, Apache Tomcat, Hadoop, SOLR, JDBC, ANT, Active Directory, LDAP, Regex, SQL, JSON, JIRA, Agile, SDLC, Security accreditation, Enterprise software development, LDAP integration, PKI integration, Web services, APIs, JavaScript, Angular JS, EXTJS",J5 Consulting,"McLean, VA",Mid senior,Onsite,database developer,aws elasticsearch apache spark scala etl devops github subversion jenkins maven artifactory web stack technologies web ui business logic database layer financial data sets mapreduce java springboot apache tomcat hadoop solr jdbc ant active directory ldap regex sql json jira agile sdlc security accreditation enterprise software development ldap integration pki integration web services apis javascript angular js extjs
Data Engineer,"Data Engineering, Dynamics CRM, Business Intelligence, BI Dashboards, SQL, Data Manipulation, Data Analysis, Data Accuracy, Data Integrity, Project Management, Data Processes, Data Solutions, Data Warehousing, ETL Processes, Cloud Computing, Big Data Technologies, DetailOriented, Analytical Skills, ProblemSolving Skills, Communication Skills, Interpersonal Skills, Teamwork, Leadership, Adaptability, Learning Agility, Integrity, Respect, Customer Focus, Excellence, Innovation, Passion, Energy, Fun, 401k, Health Insurance, Wellness Program, Career Advancement",Crane Engineering,"Appleton, WI",Mid senior,Onsite,data engineer,data engineering dynamics crm business intelligence bi dashboards sql data manipulation data analysis data accuracy data integrity project management data processes data solutions data warehousing etl processes cloud computing big data technologies detailoriented analytical skills problemsolving skills communication skills interpersonal skills teamwork leadership adaptability learning agility integrity respect customer focus excellence innovation passion energy fun 401k health insurance wellness program career advancement
"Lead Data Analyst, Power BI","Microsoft Office Suite, SAP, Hyperion, Tableau, Data Strategy, Data Visualization, Power BI, Data Architecture, Data Governance, ERP Systems, Financial/Analytics System, Systems and Finance Industry, Financial Reporting, Data Analysis, Business Intelligence, Data Mining, Data Modeling, Data Warehousing, Data Integration, Data Cleaning, Reporting, Automation",Strive Health,"Minneapolis, MN",Mid senior,Onsite,lead data analyst power bi,microsoft office suite sap hyperion tableau data strategy data visualization power bi data architecture data governance erp systems financial analytics system systems and finance industry financial reporting data analysis business intelligence data mining data modeling data warehousing data integration data cleaning reporting automation
Data Analyst 3,"SQL, Hadoop, Cloud, Statistics, A/B Testing, Data Analytics, Business Intelligence, Tableau, Dashboards, Communication, Healthcare, Retirement Savings, Insurance, Employee Assistance",Russell Tobin,"San Francisco, CA",Mid senior,Onsite,data analyst 3,sql hadoop cloud statistics a b testing data analytics business intelligence tableau dashboards communication healthcare retirement savings insurance employee assistance
Data Engineer - 2,"Data Pipelines, Data Architecture, ETL, Python, Data Warehouse, SQL, R, Disparate Data Sets, Legislative/Regulatory/Economic/Geospatial Data, Data Visualization, Machine Learning Models, Complex Technical Concepts, Technical and Departmental Stakeholders, Complex and Big Data Systems, Creative and Nuanced Perspective, SelfService and Initiative, Technical Questions",SPECTRAFORCE,"Portland, OR",Mid senior,Onsite,data engineer 2,data pipelines data architecture etl python data warehouse sql r disparate data sets legislative regulatory economic geospatial data data visualization machine learning models complex technical concepts technical and departmental stakeholders complex and big data systems creative and nuanced perspective selfservice and initiative technical questions
Marketplace Data Analyst #: 23-07210,"Tableau, Data Management, Microsoft Access, Database Design, Data Ingestion Tools, MS Office Suite, Data Quality Control, Data Troubleshooting, Data Attributing, Report Generation, Data Warehousing, Data Analytics, Data Visualization, Data Integration, Report Programming, Report Formatting, Data Generators, Information Portals, Report Specifications",HireTalent - Diversity Staffing & Recruiting Firm,"Beaverton, OR",Mid senior,Onsite,marketplace data analyst 23 07210,tableau data management microsoft access database design data ingestion tools ms office suite data quality control data troubleshooting data attributing report generation data warehousing data analytics data visualization data integration report programming report formatting data generators information portals report specifications
Geospatial Database Specialist,"TS/SCI with CI Poly, BS in Engineering Computer Science or related field, DOD 8140 (8570) IAM or IAT Level II Certification, Database administration, Data analysis, Database design, Database development, SQL, PostgreSQL, Database schemas, Relational database development, AWS database services, Atlassian Suite of tools, Verbal and written communication, Collaboration, ESRI Database tools and technologies, Cloud technologies, AWS Certified Database Specialty, ICITE or DCGSA Cloud concepts and architectures, Agile software development project methodologies, Architecture, Management, Maintenance, Backup/recovery, Security, Daytoday support, Installation, Upgrade support, Monitoring, Logging, Resolving, Database performance issues, Response times, Alert logs, Trace files, Failures, Free space, Deploying, Critical patch updates, Security patches, Governmentapproved deployment, Mitigation schedules, Hardened infrastructures",Bee Talent Solutions,"Aurora, CO",Mid senior,Onsite,geospatial database specialist,ts sci with ci poly bs in engineering computer science or related field dod 8140 8570 iam or iat level ii certification database administration data analysis database design database development sql postgresql database schemas relational database development aws database services atlassian suite of tools verbal and written communication collaboration esri database tools and technologies cloud technologies aws certified database specialty icite or dcgsa cloud concepts and architectures agile software development project methodologies architecture management maintenance backup recovery security daytoday support installation upgrade support monitoring logging resolving database performance issues response times alert logs trace files failures free space deploying critical patch updates security patches governmentapproved deployment mitigation schedules hardened infrastructures
Data Entry Specialist,"Windows XP, Internet Explorer, Microsoft Word/Office, Sojourner House MOMS, Data analysis, Data entry, Data management, Data quality control, Quality improvement, Database maintenance, Client service, Paperwork management, Policy and procedure compliance, Confidentiality, Problemsolving, Communication, Teamwork, High School Diploma, Associates Degree, Act 33/34 clearances, Health assessment, CPR/first aid certification, Driver's license, HMIS Input, PA WITTS Input, DQR monthly reviews/updates, Monthly rent and rental agreements, Client served report, Client contact sheet, Intake packets preparation, Supplies ordering","Sojourner House, Inc.","Pittsburgh, PA",Mid senior,Onsite,data entry specialist,windows xp internet explorer microsoft word office sojourner house moms data analysis data entry data management data quality control quality improvement database maintenance client service paperwork management policy and procedure compliance confidentiality problemsolving communication teamwork high school diploma associates degree act 33 34 clearances health assessment cpr first aid certification driver s license hmis input pa witts input dqr monthly reviews updates monthly rent and rental agreements client served report client contact sheet intake packets preparation supplies ordering
"Data Analyst (Bangkok Based, relocation provided)","data visualization, machine learning, artificial intelligence, SQL, R, Python, Java, data representation, data analysis, data mining, data science, analytics, analytical skills, data visualization, databases, business analysis, business intelligence, Microsoft SQL Server, statistics, Microsoft Power BI, pandas (software), information technology, Google, Facebook, Shopee, Traveloka, Ctrip, Trip.com, MakeMyTrip, Grab, Amazon, Expedia, Skyscanner, Bachelor's Degree in quantitative subject, Fluency in English, Exposure to data analysis packages/databases, Good numerical reasoning skills, Proficiency in Excel, Intellectual curiosity, Analytical skills, Experience in digital marketing, Academic research experience",Agoda,"Melbourne, Victoria, Australia",Associate,Onsite,data analyst bangkok based relocation provided,data visualization machine learning artificial intelligence sql r python java data representation data analysis data mining data science analytics analytical skills data visualization databases business analysis business intelligence microsoft sql server statistics microsoft power bi pandas software information technology google facebook shopee traveloka ctrip trip com makemytrip grab amazon expedia skyscanner bachelor s degree in quantitative subject fluency in english exposure to data analysis packages databases good numerical reasoning skills proficiency in excel intellectual curiosity analytical skills experience in digital marketing academic research experience
BUSINESS DATA ANALYST,"Data Analysis, Business Intelligence, Tableau Desktop, Tableau Server, Power BI, Microsoft Management Studio, SQL, DevOps, Alteryx, Power Apps, Excel, SQL, Analytical Methods, Business Acumen, Programming Languages, Tableau Desktop Developer, Tableau Server Developer, Power BI Developer",Carter Machinery,"Rosedale, MD",Mid senior,Onsite,business data analyst,data analysis business intelligence tableau desktop tableau server power bi microsoft management studio sql devops alteryx power apps excel sql analytical methods business acumen programming languages tableau desktop developer tableau server developer power bi developer
Data Analyst III,"Cloud services, Platforms, Largescale internet services, Cloud and/or infrastructure, Financial team, Operational analytics, Cloud computing infrastructure, 3PC cloud (GCP/AWS), Networking, GPU / TPU, SQL, Excel, Tableau, Python, R, Operational management skills, Engineering, Nonengineering groups, Matrix organization, Written communication, Verbal communication, Bachelor's degree, Engineering, Computer science, Quantitative competence",WinMax,"Seattle, WA",Associate,Onsite,data analyst iii,cloud services platforms largescale internet services cloud and or infrastructure financial team operational analytics cloud computing infrastructure 3pc cloud gcp aws networking gpu tpu sql excel tableau python r operational management skills engineering nonengineering groups matrix organization written communication verbal communication bachelor s degree engineering computer science quantitative competence
"Data Analyst (Bangkok Based, relocation provided)","data analytics, data representation, data analysis, sql, data mining, data science, python (programming language), r (programming language), tableau, analytical skills, data visualization, databases, business analysis, business intelligence (bi), microsoft sql server, machine learning, statistics, microsoft power bi, java, finance, data mining, data science, business analysis, website analytics, digital marketing, google analytics",Agoda,"Austin, TX",Associate,Onsite,data analyst bangkok based relocation provided,data analytics data representation data analysis sql data mining data science python programming language r programming language tableau analytical skills data visualization databases business analysis business intelligence bi microsoft sql server machine learning statistics microsoft power bi java finance data mining data science business analysis website analytics digital marketing google analytics
Database Admin,"Oracle, Database, Administration, Performance Tuning, Troubleshooting, Security, Automation, Scripting, ETL, Middleware, Oncall Support",Stellar Professionals,"Tennessee, United States",Mid senior,Onsite,database admin,oracle database administration performance tuning troubleshooting security automation scripting etl middleware oncall support
Cloud Database Developer or Senior Cloud Database Developer,"AWS Aurora, AWS Redshift, AWS Glue, AWS Athena, AWS S3, SQL, PL/SQL, Oracle, PostgreSQL, Version Control, Relational Database Design, Jira, Data Migration, Data Loading, Data Maintenance, Security Policy, Bash Console, Unit Testing, Infrastructure as Code, Terraform, Flyway, Ansible, GitLab, Bitbucket, DDL, DML",Federal Reserve Bank of Cleveland,"Cleveland, OH",Mid senior,Onsite,cloud database developer or senior cloud database developer,aws aurora aws redshift aws glue aws athena aws s3 sql pl sql oracle postgresql version control relational database design jira data migration data loading data maintenance security policy bash console unit testing infrastructure as code terraform flyway ansible gitlab bitbucket ddl dml
Quant Data Engineer - Macro Hedge Fund,"Python, ETL, Spark, Airflow, AWS, Data engineering, Finance, STEM, Cloud, Bespoke platform, Greenfield build, Large scale datasets, Market data providers, 23 years experience",Paragon Alpha - Hedge Fund Talent Business,"London, England, United Kingdom",Mid senior,Onsite,quant data engineer macro hedge fund,python etl spark airflow aws data engineering finance stem cloud bespoke platform greenfield build large scale datasets market data providers 23 years experience
Senior Statistical Data Analyst - Biostatistics,"Database management, Data harmonization, Data sharing, Data analysis, Statistical packages, Experimental design, Clinical trials, Epidemiological studies, Project management, Data quality control, Research coordination, Research administration, Scheduling, Tracking, Recruitment, Manuscript preparation, Biostatistics, Statistics, Informatics, Computer science, Database design, PC/UNIX, SAS, R, Python, REDCap, EDC systems, Verbal communication, Written communication, Interpersonal communication, Organization, Bachelor's degree, Related experience, College education",Washington University in St. Louis,"St Louis, MO",Mid senior,Onsite,senior statistical data analyst biostatistics,database management data harmonization data sharing data analysis statistical packages experimental design clinical trials epidemiological studies project management data quality control research coordination research administration scheduling tracking recruitment manuscript preparation biostatistics statistics informatics computer science database design pc unix sas r python redcap edc systems verbal communication written communication interpersonal communication organization bachelor s degree related experience college education
Database Administrator,"Database Administration, Data Pipelining, Database Troubleshooting, Database Security, Database Backup and Recovery, Database Performance Monitoring, Database Optimization, Database Server Specification, SQL, MySQL, DynamoDB, Amazon RDS, Aurora, S3, Database Disaster Recovery Planning, Complex Database Problem Solving, Team Player, FastPaced Environment, AWS Development, Computer Science, Mathematics",TCWGlobal (formerly TargetCW),"San Diego, CA",Mid senior,Onsite,database administrator,database administration data pipelining database troubleshooting database security database backup and recovery database performance monitoring database optimization database server specification sql mysql dynamodb amazon rds aurora s3 database disaster recovery planning complex database problem solving team player fastpaced environment aws development computer science mathematics
"Sr Analyst, People Analytics and Data","Data Analysis, Business Analysis, Statistics, Workday Report Writer, Power BI, SQL, Robotic Process Automation, Office 365, Process Analysis, System Analysis, Financial Analysis, Problem Solving, Probability, Statistical Analysis, MultiTasking, Communication, Presentation, Gathering Information, Analyzing Information, Identifying Problems, Resolving Problems, Drawing Conclusions, Decision Making, Independent Work, Teamwork, Customer Service, SelfMotivation, Proactivity, Ambition, Project Management, SDLC, SCRUM, Agile Methodologies, Medical Insurance, Dental Insurance, Vision Insurance, Paid Time Off, Tuition Reimbursement, 401K, Volunteer Time, Equal Opportunity Employer",Pacific Dental Services,"Henderson, NV",Mid senior,Onsite,sr analyst people analytics and data,data analysis business analysis statistics workday report writer power bi sql robotic process automation office 365 process analysis system analysis financial analysis problem solving probability statistical analysis multitasking communication presentation gathering information analyzing information identifying problems resolving problems drawing conclusions decision making independent work teamwork customer service selfmotivation proactivity ambition project management sdlc scrum agile methodologies medical insurance dental insurance vision insurance paid time off tuition reimbursement 401k volunteer time equal opportunity employer
Sr Business Data Analyst,"UI Path, Power Automate, Blue Prism, Python, SQL, C, .NET, Process controls, Logistics, Supply chain, Transportation, Modeling, Visualization, Optimization, Reporting, Analyzing, Predicting, Key Performance Indicators, Communication, Data structure, Spreadsheets, Databases, Data visualization, Cycle Time to Action (CTA), Site operations, Service levels, Operational costs, Operational enhancements, Account startup analysis, Report implementation, Standardized reporting, Ad hoc reporting, Internal and external reporting, New technologies, Information systems, Feasibility analyses, Predictive models, Data gathering, Reporting methods, Operations, Technical issues, Problem resolution, Customer solutions, Data modeling, Financial models, Productivity, Payroll, Cost benefits, Business impact, Labor budget, Undergraduate degree, Business, Logistics, Mathematics, Statistics, Analytics experience",DHL Supply Chain,"Westerville, OH",Mid senior,Onsite,sr business data analyst,ui path power automate blue prism python sql c net process controls logistics supply chain transportation modeling visualization optimization reporting analyzing predicting key performance indicators communication data structure spreadsheets databases data visualization cycle time to action cta site operations service levels operational costs operational enhancements account startup analysis report implementation standardized reporting ad hoc reporting internal and external reporting new technologies information systems feasibility analyses predictive models data gathering reporting methods operations technical issues problem resolution customer solutions data modeling financial models productivity payroll cost benefits business impact labor budget undergraduate degree business logistics mathematics statistics analytics experience
Database Administrator,"Database Administration, SQL, Oracle, SQL Server, Data Refresh, Deployment Packages, Reporting, Cloud",Steneral Consulting,"Des Moines, IA",Mid senior,Onsite,database administrator,database administration sql oracle sql server data refresh deployment packages reporting cloud
Junior Data Migration Analyst,"BA/BS degree, Data migration, Data integrity, Data mapping, Healthcare, Java, Maven, MS Access, Public health, SQL, Use cases, Xml","V-Soft Consulting Group, Inc.","Hartford, CT",Mid senior,Onsite,junior data migration analyst,ba bs degree data migration data integrity data mapping healthcare java maven ms access public health sql use cases xml
Data-Intensive Python/SQL Developer with Machine Learning Experience,"Python, SQL, Data Analysis, Modeling, Visualization, Machine Learning, ScikitLearn, TensorFlow, PyTorch, Pandas, NumPy, Data Manipulation, Data Pipelines, Data Availability, Data Integrity, Exploratory Data Analysis, DataDriven Tools, Dashboards, Investment DecisionMaking, ProblemSolving, Communication, Collaboration, Finance, Portfolio Management",The Cypress Group,New York City Metropolitan Area,Associate,Onsite,data intensive python sql developer with machine learning experience,python sql data analysis modeling visualization machine learning scikitlearn tensorflow pytorch pandas numpy data manipulation data pipelines data availability data integrity exploratory data analysis datadriven tools dashboards investment decisionmaking problemsolving communication collaboration finance portfolio management
Java Lead with Bigdata exp,"Java 8+/J2EE, Spring, SpringBoot, Micro Services, RESTful Services, Big Data, Cloud AWS eventbased architecture, Kubernetes, ELK (Elasticsearch Logstash & Kibana), NoSQL (MongoDB), Queue based implementations, ORM Framework  JPA / Hibernate, TDD/ATDD, Java, Python, Spark, DevOps tool chain (Jenkins Artifactory Ansible/Chef/Puppet/Spinnaker Maven/Gradle Atlassian Tool suite), NonFunctional (Technical) Requirements, UI Framework (Angular / ReactJS), OAuth implementation using Ping Identity, API Management (Apigee) or Service Mesh (Istio), Queue/Topic (ActiveMQ) based implementations, Scheduler and Batch Jobs, Scripting languages using Unix, AWS certified",Livemindz,"McLean, VA",Associate,Onsite,java lead with bigdata exp,java 8 j2ee spring springboot micro services restful services big data cloud aws eventbased architecture kubernetes elk elasticsearch logstash kibana nosql mongodb queue based implementations orm framework jpa hibernate tdd atdd java python spark devops tool chain jenkins artifactory ansible chef puppet spinnaker maven gradle atlassian tool suite nonfunctional technical requirements ui framework angular reactjs oauth implementation using ping identity api management apigee or service mesh istio queue topic activemq based implementations scheduler and batch jobs scripting languages using unix aws certified
Machine Learning Engineer,"Machine Learning, Software Engineering, Python, R, SQL, Data Engineering, ETL, Big Data, Microservices, REST API, Data Visualization, H2O Wave, Tableau, PowerBI, MLFlow, Supervised Learning, Unsupervised Learning, Clustering, Decision Tree Learning, Neural Networks, Statistical Techniques, Customer Service, Communication, Hadoop, Spark, NoSQL, DevOps, Git, Jenkins, ArgoCD, Data Privacy, Security, Natural Language Processing, Computer Vision, Model Interpretability, Feature Importance, Partial Dependence Plots, SHAP Values, IaC, Terraform, AWS Cloud Formation, Containerization, Kubernetes, Docker, kubectl, helm",H2O.ai,"Sydney, New South Wales, Australia",Mid senior,Onsite,machine learning engineer,machine learning software engineering python r sql data engineering etl big data microservices rest api data visualization h2o wave tableau powerbi mlflow supervised learning unsupervised learning clustering decision tree learning neural networks statistical techniques customer service communication hadoop spark nosql devops git jenkins argocd data privacy security natural language processing computer vision model interpretability feature importance partial dependence plots shap values iac terraform aws cloud formation containerization kubernetes docker kubectl helm
Geospatial Database Specialist,"Geospatial Database, TS/SCI with CI Poly, BS in Engineering or Computer Science, DOD 8140 (8570) IAM or IAT Level II Certification, PostgreSQL, SQL, Relational Database Development, AWS Database Services, Atlassian Suite (JIRA Confluence), ESRI Database Tools, Cloud Technologies, AWS Certified Database Specialty, ICITE or DCGSA Cloud Concepts, Agile Software Development, Database Architecture, Database Management, Database Maintenance, Backup/Recovery, Database Security, Database Support, Performance Monitoring, Log Analysis, Troubleshooting, Patch Management, Security Patch Management",Falcon IT & Staffing Solutions,"Aurora, CO",Mid senior,Onsite,geospatial database specialist,geospatial database ts sci with ci poly bs in engineering or computer science dod 8140 8570 iam or iat level ii certification postgresql sql relational database development aws database services atlassian suite jira confluence esri database tools cloud technologies aws certified database specialty icite or dcgsa cloud concepts agile software development database architecture database management database maintenance backup recovery database security database support performance monitoring log analysis troubleshooting patch management security patch management
Sr. Database Administrator,"AWS, Database administration, System administration, Networking, Server and storage, Data migration, Data maintenance, Data security, Disaster recovery, Process improvement, Performance improvement, Relational databases, Serviceoriented architecture, Infrastructure, SQL, Computer science, Information technology, Operating systems, Client/server middleware, Degree in computer science or information technology",Choice Hotels International,Greater Phoenix Area,Mid senior,Onsite,sr database administrator,aws database administration system administration networking server and storage data migration data maintenance data security disaster recovery process improvement performance improvement relational databases serviceoriented architecture infrastructure sql computer science information technology operating systems client server middleware degree in computer science or information technology
"Master Data Management Analyst, Owings Mills, MD (Hybrid)","Master Data Management (MDM), Data Management, Data Analysis, Data Governance, Data Quality, Data Integration, Data Modeling, Data Warehousing, Informatica, Collibra, SAP MDG, Reltio, TIBCO, Business Entity, Data Director",Stellent IT,"Owings Mills, MD",Mid senior,Onsite,master data management analyst owings mills md hybrid,master data management mdm data management data analysis data governance data quality data integration data modeling data warehousing informatica collibra sap mdg reltio tibco business entity data director
Senior Data Engineer,"Data Pipeline Architecture, Data Flow Optimization, Data Collection, Master Data Repositories, Data Systems Optimization, Data Delivery Architecture, Data Infrastructure, Data Extraction, Data Transformation, Data Loading, Structured Query Language, Azure, Cloud Technologies, Data Warehousing Methodologies, Relational Databases, Data Engineering, Database Development, Master Data Management, Azure Service Bus, Azure Data Factory, Dell Boomi, ETL/ELT Technologies, ObjectOriented Scripting Languages, Python, C#, C++, JavaScript, Data Pipelines, Data Architectures, Data Analytics, Root Cause Analysis, Unstructured Datasets, Data Manipulation, Data Processing, Data Extraction, Project Management, Organizational Skills, CrossFunctional Teams, Microsoft Master Data Services, Data Vault 2.0",Bio-Techne,"Centennial, CO",Mid senior,Onsite,senior data engineer,data pipeline architecture data flow optimization data collection master data repositories data systems optimization data delivery architecture data infrastructure data extraction data transformation data loading structured query language azure cloud technologies data warehousing methodologies relational databases data engineering database development master data management azure service bus azure data factory dell boomi etl elt technologies objectoriented scripting languages python c c javascript data pipelines data architectures data analytics root cause analysis unstructured datasets data manipulation data processing data extraction project management organizational skills crossfunctional teams microsoft master data services data vault 2 0
Senior Data Analyst,"Data modeling, Data catalog building and maintenance, Content taxonomy frameworks, Data management tools, Data profiling, Data classification, Data filtering, Data cleansing, Data analysis, Data collection, Statistical efficiency, Data quality, Data governance, Data visualization, PHI data, PII data, PCI data, KPI tracking, Business solutions development, Data engineering, Data science, Data transformation, Artificial intelligence, Business stakeholder collaboration, Data literacy promotion, Datarelated project requirements gathering, Data analysts and engineers team leading, Statistical analysis, Statistical software (SAS SPSS or R), Process improvement, Computer Science, Statistics, 7+ years of experience",A-Line Staffing Solutions,"New York, NY",Mid senior,Onsite,senior data analyst,data modeling data catalog building and maintenance content taxonomy frameworks data management tools data profiling data classification data filtering data cleansing data analysis data collection statistical efficiency data quality data governance data visualization phi data pii data pci data kpi tracking business solutions development data engineering data science data transformation artificial intelligence business stakeholder collaboration data literacy promotion datarelated project requirements gathering data analysts and engineers team leading statistical analysis statistical software sas spss or r process improvement computer science statistics 7 years of experience
Principal Data Engineer-Snowflake,"Data Engineering, Data Design, Data Management, Data Development, Machine Learning, Snowflake, Data Warehousing, Data Marts, SQL, ETL, Cloud Computing, Azure, System Development Life Cycle (SDLC), ProblemSolving, Analytical Skills, Communication Skills, Bachelor's Degree in Computer Science",InnovAge,"Denver, CO",Mid senior,Onsite,principal data engineer snowflake,data engineering data design data management data development machine learning snowflake data warehousing data marts sql etl cloud computing azure system development life cycle sdlc problemsolving analytical skills communication skills bachelor s degree in computer science
ITS Application Analyst II / IS Data Governance,"Data governance, Data policy development, Healthcare IT, Microsoft Office, Conflict resolution, Project management, Process improvement, Quality skills, Communication skills, Confidentiality, Knowledge of general information technology policies and procedures, Ability to operate various office machines, Problemsolving, Analytical skills, Presentation skills, Prioritization skills, Interpersonal skills, Organizational skills, Ability to work as part of a team, Written communication, Verbal communication, Analytical skills, Ability to multitask, Proficiency with computers and software, Knowledge of state and federal health care information technology laws and regulations",Hartford HealthCare,"Farmington, CT",Mid senior,Onsite,its application analyst ii is data governance,data governance data policy development healthcare it microsoft office conflict resolution project management process improvement quality skills communication skills confidentiality knowledge of general information technology policies and procedures ability to operate various office machines problemsolving analytical skills presentation skills prioritization skills interpersonal skills organizational skills ability to work as part of a team written communication verbal communication analytical skills ability to multitask proficiency with computers and software knowledge of state and federal health care information technology laws and regulations
Sr. Database Admin. - TS/SCI,"DevOps, Infrastructure as Code (IaC), SQL, NoSQL, MSSQL, MySQL, PostgreSQL, Redis, Python3, PowerShell, Bash, Configuration Management, Salt, Ansible, Windows server administration, Linux server administration, Kubernetes, Rancher, Nexus, Cloudera, Atlassian Jira, Jira Service Desk, Confluence, CI/CD Tools, Elasticsearch, Gitlab, Agile practices, Database design, Database implementation, Database maintenance, Database monitoring, Database performance tuning, Database optimization, Database hardening, Database patching, Database replication, High availability, Backup, Disaster recovery, Windows Server, Linux, Top Secret clearance, TS/SCI clearance, Strong verbal and written communication, Teamwork, Selfstarter, Agile",Xcelerate Solutions,"Bethesda, MD",Mid senior,Onsite,sr database admin ts sci,devops infrastructure as code iac sql nosql mssql mysql postgresql redis python3 powershell bash configuration management salt ansible windows server administration linux server administration kubernetes rancher nexus cloudera atlassian jira jira service desk confluence ci cd tools elasticsearch gitlab agile practices database design database implementation database maintenance database monitoring database performance tuning database optimization database hardening database patching database replication high availability backup disaster recovery windows server linux top secret clearance ts sci clearance strong verbal and written communication teamwork selfstarter agile
Cloud Data Engineer,"Data Engineering, Data Pipelines, Data Lake, Data Lake House, Data Warehouse, Machine Learning Models, MLOPS, ML Deployment, Data Source Mapping, Pipeline Creation, Data Analytics, Data Reporting, Data Visualization, Data Debubbing, Data Wrangling, Data Profiling, Python, Data Quality Checks, Automated Testing, Monitoring, Structured DecisionMaking, Project Management, Dev and Prod Environments, Metadata Driven ETL Models, Data Scientist Collaboration, Offshore Support, Bachelor's Degree, Computer Science, Engineering, Statistics, Cloud Services, Azure, AWS, Terraform, RDBMS, DB2, Informix, SQL Server, MySQL, Oracle, Postgres, Maria DB, Python, Pandas, Tensor flow, Django, Data Frames, SQL, Stored Procedures, Apache Workflow, DBT, Azure ADF, REST APIs, Windows, Linux, PowerShell, Linux Bash, GIT, SVN, Bitbucket, Azure DevOps, Hospitality Industry, Financial Industry, Revenue Management, Sales, Digital Marketing, Machine Learning Python Libraries, NumPy, SciPy, OpenCV",Omni Hotels & Resorts,"Dallas, TX",Mid senior,Onsite,cloud data engineer,data engineering data pipelines data lake data lake house data warehouse machine learning models mlops ml deployment data source mapping pipeline creation data analytics data reporting data visualization data debubbing data wrangling data profiling python data quality checks automated testing monitoring structured decisionmaking project management dev and prod environments metadata driven etl models data scientist collaboration offshore support bachelor s degree computer science engineering statistics cloud services azure aws terraform rdbms db2 informix sql server mysql oracle postgres maria db python pandas tensor flow django data frames sql stored procedures apache workflow dbt azure adf rest apis windows linux powershell linux bash git svn bitbucket azure devops hospitality industry financial industry revenue management sales digital marketing machine learning python libraries numpy scipy opencv
Lead Data Analyst,"Machine Learning, Python, Data Science, Data Quality, Data Gathering, Coding Best Practices, Lean Development, Agile Development, Deep Learning, Generative AI, Large Language Models, Cognitive Services, SQL, Hive, Spark, Scala, Tableau, Big Data, Hadoop Distributed File System (HDFS), Perception, Regression, Computer Vision, Natural Language Processing, Time Series Data, Distributed Systems, Statistical Testing",Infosys,"Dallas, TX",Mid senior,Onsite,lead data analyst,machine learning python data science data quality data gathering coding best practices lean development agile development deep learning generative ai large language models cognitive services sql hive spark scala tableau big data hadoop distributed file system hdfs perception regression computer vision natural language processing time series data distributed systems statistical testing
Data Analyst,"Data Analyst, SQL, Excel, Power BI, Healthcare, Health plans, Business Administration, Information Systems, Health Informatics, Compliance, Regulatory reporting, Reporting","IDR, Inc.","Dallas, TX",Mid senior,Onsite,data analyst,data analyst sql excel power bi healthcare health plans business administration information systems health informatics compliance regulatory reporting reporting
Senior Azure Data Engineer,"Azure, SQL, Python, PySpark, Databricks, CI/CD, DevOps, Data Science, Engineering, Analytics, Data Environment, Cloud Environment, Leadership",Energy Jobline,"Edinburgh, Scotland, United Kingdom",Mid senior,Onsite,senior azure data engineer,azure sql python pyspark databricks ci cd devops data science engineering analytics data environment cloud environment leadership
Senior Data Engineer,"Data Engineering, Data Ingestion, Data Pipelines, Business Requirements, Technical Specifications, SSIS, SSAS, SSRS, Onprem to Cloud Migration, AWS, Azure, SQL Server, TSQL, API Integration, ETL, Data Modelling, Power BI, Vendor Solutions, Paid Parental Leave, Gifted Leave, Coaching, Mentoring, Career Growth, Education, Training",NOVON,"New South Wales, Australia",Mid senior,Onsite,senior data engineer,data engineering data ingestion data pipelines business requirements technical specifications ssis ssas ssrs onprem to cloud migration aws azure sql server tsql api integration etl data modelling power bi vendor solutions paid parental leave gifted leave coaching mentoring career growth education training
